Tweet,Sentiment
"RT @YoYo_Ma: Joining @UN Secretary-General @AntonioGuterres in counting down 100 days to #PeaceDay. He says that ""true peace requires stand…",0.0972222222222222
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @Franklin_Graham: Thank you @POTUS, @SecPompeo &amp; all of the administration’s advisors for being willing to work for peace. We owe you ou…",0.25
@Record_Sport Almost forgot he won the CL single handed in Istanbul that night 😉 gies peace FFS if he’s that good a… https://t.co/ObuRdcFxIQ,0.3142857142857143
RT @muftimenk: Always remind yourself that everything in this world is temporary. People come &amp; go. Feelings change constantly. Places don’…,0.0
"RT @BaliNational: There is not a single place in the entire world that can replace home. No matter how much you enjoy travelling places, yo…",0.15892857142857142
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
I've had a few weeks to appreciate our home with just my family in it. I've got 2 days left of this peace. Wish it… https://t.co/iuJCRDqNoe,-0.1
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
RT @TomiLahren: In 2020 we have a choice: the man who truly brings us closer to world peace or a group of lunatics who contribute only prot…,0.0
"@jakesnake998 @mckinlay_liz @RuthDavidsonMSP Scotlandleave the UK.Small nations rocks, and take better care of thei… https://t.co/Pvby622pfP",0.5
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"Scotlandleave the UK.Small nations rocks, and take better care of their people. Spoken from a small nation. Every n… https://t.co/WMQ5SZAPYV",0.125
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
RT @petluvers4Trump: “Savaging”? Tariffs to equal tariffs to protect our nation’s own workers are savaging?,0.3
And where do I begin to talk a…,0.0
"@Thomas1774Paine Who knew more jobs, more money in pockets, the arrests of thousands of childabusers and rescue of… https://t.co/GnnGrnPin2",0.5
"@GdManess My god, you seriously think he accomplished something don't you? There's been over 60 years of hostility… https://t.co/cZRdsTAIGO",-0.06666666666666665
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
Russia would benefit in the way that all of us benefit in having more peace in the world https://t.co/gOw5yZAhEE,0.5
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @larouchepac: Yesterday will be remembered in history, not only for the extraordinary achievement in Korea, but because the ""Spirit of t…",0.16666666666666666
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
RT @TomiLahren: In 2020 we have a choice: the man who truly brings us closer to world peace or a group of lunatics who contribute only prot…,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
"RT @BeSocialScene: Rest in peace Anthony Bourdain, you were such an inspiration for travelers around the world.",0.0
#besocial #traveltuesday #…,0.0
"RT @RealJack: Yes, the Democrats are outraged over the nearing world peace with North Korea.",-0.9
Let that sink in.,0.0
